Submitted_Headline_1,Prefill_Suggested_Headline_1,Suggested_Headline_1_Option1,Suggested_Headline_1_Option2,Suggested_Headline_1_Option3,Submitted_Headline_2,Prefill_Suggested_Headline_2,Suggested_Headline_2_Option1,Suggested_Headline_2_Option2,Suggested_Headline_2_Option3,Submitted_Description,Prefill_Suggested_Description,Suggested_Description_Option1,Suggested_Description_Option2,Suggested_Description_Option3,Submitted_Path_1,Prefill_Suggested_Path_1,Suggested_Path_1_Option1,Suggested_Path_1_Option2,Suggested_Path_1_Option3,Submitted_Path_2,Prefill_Suggested_Path_2,Suggested_Path_2_Option1,Suggested_Path_2_Option2,Suggested_Path_2_Option3,Submitted_Status,Submitted_Time,Submitted_Writer
""Family Dollar Coupons"",""Family Dollar - Details -"",""Family Dollar Coupons"",""Family Dollar - Details -"",""Family Dollar. Details -"",""Your Neighborhood Store"",""Comments About Family Dollar (12)"",""Family Dollar Coupons"",""Family Dollar - Details -"",""Family Dollar. Details -"",""Hundreds of Coupons, Everyday Low Prices & More. Explore Great Deals Today!"",""Family Dollar Coupons"",""Family Dollar Coupons"",""Family Dollar - Details -"",""Family Dollar. Details -"",""Family-Dollar"",""Application"",""Application"",""Apply_At"",""Apply_For"",""Application"",""Apply_For"",""Application"",""Apply_At"",""Apply_For"",Completed,"2018-02-12 07:08:06",Rgrant
""Yankee Candle Coupons"",""Yankee Candle Coupons"",""Yankee Candle Coupons"",""Get Yankee Candle Coupons and Discounts for Great Savings."",""Yankee Candle - Details -"",""Big Savings Available"",""Yankee Candle. Details -"",""Yankee Candle Coupons"",""Yankee Candle - Details -"",""Yankee Candle. Details -"",""50% off Any Purchase of $75+ & Up to 60% off Select Items. Get a Coupon Now!"",""Get Yankee Candle Coupons and Discounts for Great Savings."",""Get Yankee Candle Coupons and Discounts for Great Savings."",""Yankee Candle Coupons"",""Yankee Candle - Details -"",""Candles"",""yankee_candles"",""yankee_candles"",""yankee_candle"",""yankeecandles"",""Yankee"",""yankeecandle"",""yankee_candles"",""yankee_candle"",""yankeecandles"",Completed,"2018-02-12 07:05:42",Rgrant
""Chicago Subway Coupons"",""$4.99 Footlong Sandwiches Free Disney Pixar Coco Backpack Clip With Every Kids’ Meal Free 6\" Sub With Purchase Of 30 Oz Drink Subway Menu Subway Locations"",""Subway Coupons"",""$4.99 Footlong Sandwiches Free Disney Pixar Coco Backpack Clip With Every Kids’ Meal Free 6\" Sub With Purchase Of 30 Oz Drink Subway Menu Subway Locations"",""Details -. Subway"",""Amazing Range of Deals"",""Details -. Subway"",""Subway Coupons"",""Details -. Subway"",""Subway - Details -"",""Free 6\" Sub with Purchase of 30 Oz Drink & 5 Footlongs $4.99 Each. Get a Coupon!"",""Subway Coupons"",""Subway Coupons"",""Subway - Details -"",""Details -. Subway"",""Subway"",""Chicago_Subway"",""Chicago_Subway"",""Coupon_For"",""Coupons_At"",""Deals"",""online_coupons"",""Chicago_Subway"",""Coupon_For"",""Coupons_At"",Rejected,"2018-02-12 07:03:44",Rgrant
""Epson Projectors on Sale"",""Nj Accessory Has Great Prices On Projectors, Receivers, Hd Tv, Digital Slr Cameras, Pro Camcoders And Lenses"",""Epson Projectors On Sale"",""Nj Accessory Has Great Prices On Projectors, Receivers, Hd Tv, Digital Slr Cameras, Pro Camcoders And Lenses"",""3D_Home_Cinema"",""3D_Home_Cinema Dgfdfgd"",""3D_Home_Cinema"",""Epson Projectors On Sale"",""Nj Accessory Has Great Prices On Projectors, Receivers, Hd Tv, Digital Slr Cameras, Pro Camcoders And Lenses"",""3D_Home_Cinema"",""Epson Projectors on Sale Dgfdfg Dgdf Dfg Dfg Dfg Dfg Dfg Dfgdf Gfd"",""Epson Projectors On Sale"",""Epson Projectors On Sale"",""Nj Accessory Has Great Prices On Projectors, Receivers, Hd Tv, Digital Slr Cameras, Pro Camcoders And Lenses"",""3D_Home_Cinema"",""Dfgfdgd"",""epson"",""3D_Home_Cinema"",""Epson_Home"",""Epson"",""Dfgdfgd"",""Epson_Home"",""3D_Home_Cinema"",""Epson_Home"",""Epson"",Cancelled,"2018-02-10 01:08:37",bestwriterever
""Nj Accessory Has Great Prices"",""Nj Accessory Has Great Prices On Projectors, Receivers, Hd Tv, Digital Slr Cameras, Pro Camcoders And Lenses"",""Epson Projectors On Sale"",""Nj Accessory Has Great Prices On Projectors, Receivers, Hd Tv, Digital Slr Cameras, Pro Camcoders And Lenses"",""3D_Home_Cinema"",""Nj Accessory Has Great Prices"",""3D_Home_Cinema"",""Epson Projectors On Sale"",""Nj Accessory Has Great Prices On Projectors, Receivers, Hd Tv, Digital Slr Cameras, Pro Camcoders And Lenses"",""3D_Home_Cinema"",""Nj Accessory Has Great Prices on ProjectorsNj Accessory Has Great Prices On"",""Epson Projectors On Sale"",""Epson Projectors On Sale"",""Nj Accessory Has Great Prices On Projectors, Receivers, Hd Tv, Digital Slr Cameras, Pro Camcoders And Lenses"",""3D_Home_Cinema"",""Epson"",""epson"",""3D_Home_Cinema"",""Epson_Home"",""Epson"",""Epson"",""Epson"",""3D_Home_Cinema"",""Epson_Home"",""Epson"",Cancelled,"2018-02-10 01:08:14",bestwriterever
""Nj Accessory Has Great Prices"",""Nj Accessory Has Great Prices On Projectors, Receivers, Hd Tv, Digital Slr Cameras, Pro Camcoders And Lenses"",""Epson Projectors On Sale"",""Nj Accessory Has Great Prices On Projectors, Receivers, Hd Tv, Digital Slr Cameras, Pro Camcoders And Lenses"",""3D_Home_Cinema"",""3D Home_Cinema Test Test"",""3D_Home_Cinema"",""Epson Projectors On Sale"",""Nj Accessory Has Great Prices On Projectors, Receivers, Hd Tv, Digital Slr Cameras, Pro Camcoders And Lenses"",""3D_Home_Cinema"",""Epson Projectors on Sale Test Test Test Test Test Test Test Test"",""Epson Projectors On Sale"",""Epson Projectors On Sale"",""Nj Accessory Has Great Prices On Projectors, Receivers, Hd Tv, Digital Slr Cameras, Pro Camcoders And Lenses"",""3D_Home_Cinema"",""Epson"",""epson"",""3D_Home_Cinema"",""Epson_Home"",""Epson"",""Epson"",""Epson"",""3D_Home_Cinema"",""Epson_Home"",""Epson"",Cancelled,"2018-02-10 01:07:48",bestwriterever
""Online Degree Programs"",""Online Degree Programs"",""Associate Degrees"",""Online Degree Programs"",""Undergraduate Degree Programs"",""Undergraduate Degree Programs"",""Undergraduate Degree Programs"",""Associate Degrees"",""Online Degree Programs"",""Undergraduate Degree Programs"",""Providing Education for over 40 Years More than 100,000 Alumni"",""Providing Education For Over 40 Years | More Than 100,000 Alumni"",""Providing Education For Over 40 Years | More Than 100,000 Alumni"",""Aiu: Online College Degree Programs & Courses"",""Find A College Degree Program That's Right For You At Aiu"",""School_Grants"",""School_Grants"",""School_Grants"",""Education"",""Financial_Aid"",""Education"",""Education"",""School_Grants"",""Education"",""Financial_Aid"",Cancelled,"2018-02-10 00:05:43",bestwriterever
""Online Degree Programs"",""Online Degree Programs"",""Associate Degrees"",""Online Degree Programs"",""Undergraduate Degree Programs"",""Associate Degrees"",""Associate Degrees"",""Associate Degrees"",""Online Degree Programs"",""Undergraduate Degree Programs"",""Providing Education for over 40 Years More than 100,000 Alumni"",""Providing Education For Over 40 Years | More Than 100,000 Alumni"",""Providing Education For Over 40 Years | More Than 100,000 Alumni"",""Aiu: Online College Degree Programs & Courses"",""Find A College Degree Program That's Right For You At Aiu"",""Online_School"",""Online_School"",""Online_School"",""Online"",""Stay Connected"",""Online"",""Online"",""Online_School"",""Online"",""Stay Connected"",Cancelled,"2018-02-10 00:05:34",bestwriterever
""Undergraduate Degree Programs"",""Undergraduate Degree Programs"",""Associate Degrees"",""Online Degree Programs"",""Undergraduate Degree Programs"",""Associate Degrees"",""Associate Degrees"",""Associate Degrees"",""Online Degree Programs"",""Undergraduate Degree Programs"",""Providing Education for over 40 Years More than 100,000 Alumni"",""Providing Education For Over 40 Years | More Than 100,000 Alumni"",""Providing Education For Over 40 Years | More Than 100,000 Alumni"",""Aiu: Online College Degree Programs & Courses"",""Find A College Degree Program That's Right For You At Aiu"",""College"",""College"",""College"",""Online"",""Stay Connected"",""Online"",""Online"",""College"",""Online"",""Stay Connected"",Cancelled,"2018-02-10 00:05:25",bestwriterever
""Online Degree Programs"",""Online Degree Programs"",""Associate Degrees"",""Online Degree Programs"",""Undergraduate Degree Programs"",""Associate Degrees"",""Associate Degrees"",""Associate Degrees"",""Online Degree Programs"",""Undergraduate Degree Programs"",""Providing Education for over 40 Years More than 100,000 Alumni"",""Providing Education For Over 40 Years | More Than 100,000 Alumni"",""Providing Education For Over 40 Years | More Than 100,000 Alumni"",""Aiu: Online College Degree Programs & Courses"",""Find A College Degree Program That's Right For You At Aiu"",""Online"",""Online"",""Online_Courses"",""Online"",""Stay Connected"",""Online_Courses"",""Online_Courses"",""Online_Courses"",""Online"",""Stay Connected"",Cancelled,"2018-02-10 00:05:18",bestwriterever
""Online Degree Programs"",""Undergraduate Degree Programs"",""Associate Degrees"",""Online Degree Programs"",""Undergraduate Degree Programs"",""Associate Degrees"",""Associate Degrees"",""Associate Degrees"",""Online Degree Programs"",""Undergraduate Degree Programs"",""Providing Education for over 40 Years  More than 100,000 Alumni"",""Providing Education For Over 40 Years | More Than 100,000 Alumni"",""Providing Education For Over 40 Years | More Than 100,000 Alumni"",""Aiu: Online College Degree Programs & Courses"",""Find A College Degree Program That's Right For You At Aiu"",""Online_Courses"",""Online_Courses"",""Online_Courses"",""Online"",""Stay Connected"",""Online"",""Online"",""Online_Courses"",""Online"",""Stay Connected"",Completed,"2018-02-09 05:57:08",christopher.writer
""Description of EXTA"",""one each text ad"",""Description of EXTA"",""one each text ad"",""Onekeyword"",""one each text ad"",""Onekeyword"",""Description of EXTA"",""one each text ad"",""Onekeyword"",""one each text ad"",""Description of EXTA"",""one each text ad"",""Description of EXTA"",""Onekeyword"",""TitlePart2"",""TitlePart2"",""Onekeyword"",""TitlePart1"",""TitlePart2"",""TitlePart1"",""Path2"",""Onekeyword"",""TitlePart1"",""TitlePart2"",Completed,"2018-02-09 05:56:48",christopher.writer
""Online Degree Programs"",""Online Degree Programs"",""Associate Degrees"",""Online Degree Programs"",""Undergraduate Degree Programs"",""Online Degree Programs"",""Associate Degrees"",""Associate Degrees"",""Online Degree Programs"",""Undergraduate Degree Programs"",""Providing Education for over 40 Years More than 100,000 Alumni"",""Providing Education For Over 40 Years | More Than 100,000 Alumni"",""Providing Education For Over 40 Years | More Than 100,000 Alumni"",""Aiu: Online College Degree Programs & Courses"",""Find A College Degree Program That's Right For You At Aiu"",""Online"",""Online"",""College"",""Online"",""Stay Connected"",""College"",""College"",""College"",""Online"",""Stay Connected"",Completed,"2018-02-09 05:54:27",christopher.writer
""one each text ad"",""one each text ad"",""Description of EXTA"",""one each text ad"",""Onekeyword"",""Onekeywordghhhhhhhhhhhhhhhhhhh"",""Onekeyword"",""Description of EXTA"",""one each text ad"",""Onekeyword"",""Description of EXTA"",""Description of EXTA"",""one each text ad"",""Description of EXTA"",""Onekeyword"",""TitlePart2"",""TitlePart2"",""Onekeyword"",""TitlePart1"",""TitlePart2"",""Path"",""Path2"",""Onekeyword"",""TitlePart1"",""TitlePart2"",Rejected,"2018-02-09 05:53:53",christopher.writer
""Associate Degrees"",""Undergraduate Degree Programs"",""Associate Degrees"",""Online Degree Programs"",""Undergraduate Degree Programs"",""Associate Degrees"",""Online Degree Programs"",""Associate Degrees"",""Online Degree Programs"",""Undergraduate Degree Programs"",""Providing Education for over 40 YearsMore than 100,000 Alumni"",""Providing Education For Over 40 Years | More Than 100,000 Alumni"",""Providing Education For Over 40 Years | More Than 100,000 Alumni"",""Aiu: Online College Degree Programs & Courses"",""Find A College Degree Program That's Right For You At Aiu"",""School_Grants"",""Financial_Aid"",""School_Grants"",""Education"",""Financial_Aid"",""Education"",""School_Grants"",""School_Grants"",""Education"",""Financial_Aid"",Completed,"2018-02-09 05:52:02",christopher.writer
""Online Degree Programs"",""Online Degree Programs"",""Associate Degrees"",""Online Degree Programs"",""Undergraduate Degree Programs"",""Associate Degrees"",""Associate Degrees"",""Associate Degrees"",""Online Degree Programs"",""Undergraduate Degree Programs"",""Providing Education for over 40 Years More than 100,000 Alumni"",""Providing Education For Over 40 Years | More Than 100,000 Alumni"",""Providing Education For Over 40 Years | More Than 100,000 Alumni"",""Aiu: Online College Degree Programs & Courses"",""Find A College Degree Program That's Right For You At Aiu"",""Online_School"",""Online"",""Online_School"",""Online"",""Stay Connected"",""Online_School"",""Online_School"",""Online_School"",""Online"",""Stay Connected"",Completed,"2018-02-09 05:51:38",christopher.writer
""Online Degree Programs"",""Online Degree Programs"",""Associate Degrees"",""Online Degree Programs"",""Undergraduate Degree Programs"",""Online Degree Programs"",""Associate Degrees"",""Associate Degrees"",""Online Degree Programs"",""Undergraduate Degree Programs"",""Aiu: Online College Degree Programs & Courses"",""Providing Education For Over 40 Years | More Than 100,000 Alumni"",""Providing Education For Over 40 Years | More Than 100,000 Alumni"",""Aiu: Online College Degree Programs & Courses"",""Find A College Degree Program That's Right For You At Aiu"",""College"",""Online"",""College"",""Online"",""Stay Connected"",""Online"",""College"",""College"",""Online"",""Stay Connected"",Rejected,"2018-02-09 05:51:00",christopher.writer
""Online Degree Programs"",""Undergraduate Degree Programs"",""Associate Degrees"",""Online Degree Programs"",""Undergraduate Degree Programs"",""Associate Degrees"",""Associate Degrees"",""Associate Degrees"",""Online Degree Programs"",""Undergraduate Degree Programs"",""Find a College Degree Program That's Right for You at Aiu"",""Providing Education For Over 40 Years | More Than 100,000 Alumni"",""Providing Education For Over 40 Years | More Than 100,000 Alumni"",""Aiu: Online College Degree Programs & Courses"",""Find A College Degree Program That's Right For You At Aiu"",""Stay Connected"",""Online_Courses"",""Online_Courses"",""Online"",""Stay Connected"",""Online"",""Online"",""Online_Courses"",""Online"",""Stay Connected"",Rejected,"2018-02-09 05:50:34",christopher.writer
""Description of EXTA"",""Description of EXTA"",""Description of EXTA"",""one each text ad"",""Onekeyword"",""Onekeyword"",""Onekeyword"",""Description of EXTA"",""one each text ad"",""Onekeyword"",""one each text ad"",""one each text ad"",""one each text ad"",""Description of EXTA"",""Onekeyword"",""TitlePart2"",""TitlePart2"",""Onekeyword"",""TitlePart1"",""TitlePart2"",""TitlePart1"",""TitlePart1"",""Onekeyword"",""TitlePart1"",""TitlePart2"",Completed,"2018-02-09 05:50:09",christopher.writer
""one each text ad"",""one each text ad"",""Description of EXTA"",""one each text ad"",""Onekeyword"",""Onekeyword"",""Onekeyword"",""Description of EXTA"",""one each text ad"",""Onekeyword"",""Description of EXTA"",""Description of EXTA"",""one each text ad"",""Description of EXTA"",""Onekeyword"",""TitlePart2"",""TitlePart2"",""Onekeyword"",""TitlePart1"",""TitlePart2"",""Path2"",""Path2"",""Onekeyword"",""TitlePart1"",""TitlePart2"",Rejected,"2018-02-09 05:49:48",christopher.writer
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Completed,"2018-02-09 05:28:11",christo
""$8.95/Day Car Rentals 6"",""$8.95/Day Car Rentals"",""$8.95/Day Car Rentals"",""Cheap Car Rentals"",""Stop Searching Around for Great Car Rental Deals. Compare & Save In One Search."",""Cheap Car Rentals 12345"",""Cheap Car Rentals"",""$8.95/Day Car Rentals"",""Cheap Car Rentals"",""Enjoy Big Savings"",""Stop Searching around for Great Car Rental Deals. Compare & Save in One Search."",""Stop Searching Around for Great Car Rental Deals. Compare & Save In One Search."",""Stop Searching Around for Great Car Rental Deals. Compare & Save In One Search."",""$8.95/Day Car Rentals"",""Cheap Car Rentals"",""Car_Rental"",""car_rental"",""car_rental"",""Cars-Cheap"","""",""Cars-Cheap"",""booking"",""car_rental"",""Cars-Cheap"","""",Completed,"2018-02-09 04:59:53",christo
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Completed,"2018-02-09 04:58:42",christo
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Completed,"2018-02-09 04:58:42",christo
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Completed,"2018-02-09 04:58:42",christo
""Kia Optima Models"",""Available Inventory"",NULL,NULL,NULL,""New & Used Options"",""14 Vehicles Found"",NULL,NULL,NULL,""Great Hybrids Available at Your Local Dealer. Choose Your Kia Optima Today!"",""Not Your Average Hybrid. Explore, Build, & Discover Your Own Kia Optima."",NULL,NULL,NULL,""Kia-Optima"",""new_optima"",NULL,NULL,NULL,""Dealer"",""clay_cooley_kia"",NULL,NULL,NULL,Completed,"2018-02-09 03:04:32",kimjade
""New 2018 Nissan Rogue"",""114 Vehicles Found"",NULL,NULL,NULL,""4-Wheel Drive SUVs"",""Available Inventory"",NULL,NULL,NULL,""Great Deals on New Nissan Rogues and Rogue Sport SUVs. See Our Huge Selection!"",""Find New Rogue, Rogue Sport At Clay Cooley Nissan Galleria , Dallas"",NULL,NULL,NULL,""Nissan"",""2015_Nissan"",NULL,NULL,NULL,""Rogue-2018"","""",NULL,NULL,NULL,Rejected,"2018-02-09 01:52:37",anastasia.nicolov
""New 2018 Nissan Sentra"",""Available Inventory"",NULL,NULL,NULL,""Exclusive Features"",""56 Vehicles Found"",NULL,NULL,NULL,""Bright Interior with Ample Leg Room & Cargo Flexibility. Learn More!"",""A Bright, Airy Interior With Ample Leg Room & Cargo Flexibility."",NULL,NULL,NULL,""Nissan"",""2016_Nissan"",NULL,NULL,NULL,""2018_Sentra"",""2017_Nissan"",NULL,NULL,NULL,Rejected,"2018-02-08 21:13:06",danielmar99
""New Chevrolet Tahoe in Stock"",""Available Inventory"",NULL,NULL,NULL,""Special Offers Available"",""14 Vehicles Found"",NULL,NULL,NULL,""Designed with Quality in Mind. Visit the Site to See the New Chevrolet!"",""Designed To Make An Impression. Visit The Site To See The New Tahoe!"",NULL,NULL,NULL,""2017"",""2017"",NULL,NULL,NULL,""Chevrolet"",""young_chevrolet"",NULL,NULL,NULL,Completed,"2018-02-08 21:10:48",juniorarmenta
""2018 Jeep, Dodge, Ram"",""Service Information*"",NULL,NULL,NULL,""New Models Available"",""Appointment\tInformation*"",NULL,NULL,NULL,""Special Offers on Clay Cooleys Jeep, Dodge, Rams: Your One-StopCar-Buying Spot!"",""Clay Cooley Chrysler Jeep Dodge Ram: Your One-Stop\nCar-Buying Spot"",NULL,NULL,NULL,""Dodge_Dealer"",""Dodge_Dealer"",NULL,NULL,NULL,""New"",""Dodge"",NULL,NULL,NULL,Rejected,"2018-02-08 21:05:46",juniorarmenta
""New Nissan TItan XD in Stock"",""Available Inventory"",NULL,NULL,NULL,""21 Vehicles Available"",""21 Vehicles Found"",NULL,NULL,NULL,""Test Drive the New Powerful Titan XD at Clay Cooley Nissan Today!"",""Search All The New & Used Models. Explore, Build, Price, & Locate."",NULL,NULL,NULL,""Titan_XD"",""2017_Nissan"",NULL,NULL,NULL,""2018_Nissan"",""2018_Nissan"",NULL,NULL,NULL,Rejected,"2018-02-08 21:00:43",juniorarmenta
""Ram Dealership in Dallas"",""Service Information*"",NULL,NULL,NULL,""Online Vehicle Search"",""Appointment\tInformation*"",NULL,NULL,NULL,""Your Brand New Ram Truck is Waiting. Schedule a Test Drive Today!"",""Why Buy A New Chrysler, Dodge, Jeep Or Ram At Our\nIrving Dealership?"",NULL,NULL,NULL,""Dallas"",""Ram_Dealership"",NULL,NULL,NULL,""Ram"",""dodge"",NULL,NULL,NULL,Completed,"2018-02-08 21:00:05",danielmar99
""Available Jeep, Dodge, Rams"",""Service Information*"",NULL,NULL,NULL,""Shop New 2018 Models"",""Appointment\tInformation*"",NULL,NULL,NULL,""Clay Cooley Chrysler Jeep, Dodge, Ram Your One-StopCar-Buying Spot!"",""Clay Cooley Chrysler Jeep Dodge Ram: Your One-Stop\nCar-Buying Spot"",NULL,NULL,NULL,""Dodge_Dealer"",""Dodge_Dealer"",NULL,NULL,NULL,""2018"",""Dodge"",NULL,NULL,NULL,Rejected,"2018-02-08 20:56:39",juniorarmenta
""Available 2018 Nissan Rogue"",""54 Vehicles Found"",NULL,NULL,NULL,""New, Certified, Pre-Owned"",""Available Inventory"",NULL,NULL,NULL,""Test-Drive a Nissan Rogue Vehicle at Clay Cooley Nissan Today!"",""Test-Drive A Nissan Rogue Vehicle At Clay Cooley Nissan Of Irving."",NULL,NULL,NULL,""2018_Nissan"",""2017_Nissan"",NULL,NULL,NULL,""New"",""Vehicles"",NULL,NULL,NULL,Rejected,"2018-02-08 20:46:26",juniorarmenta
""New 2018 Volkswagen Jetta"",""Volkswagen Jetta"",NULL,NULL,NULL,""Over 250 Available Cars & Suvs"",""It's Anything But Basic"",NULL,NULL,NULL,""Explore New Jetta Special Offers, Colors, Features. Photos, More!"",""Explore Trims, Colors, & Jetta Features. Photos, View Special Offers & More."",NULL,NULL,NULL,""2018"",""2016"",NULL,NULL,NULL,""New"",""new"",NULL,NULL,NULL,Rejected,"2018-02-08 20:41:47",juniorarmenta
""NEW 2018 Kia Sorento"",""Available Inventory"",NULL,NULL,NULL,""Over 30 Vehicles Available"",""30 Vehicles Found"",NULL,NULL,NULL,""Discover the New Kia Sorento, Features, Choose & Build Your 2018 Sorento Today!"",""Discover The New Kia Sorento. View Trims, Features, & Build Your 2018 Sorento."",NULL,NULL,NULL,""ClayCooley"",""irving"",NULL,NULL,NULL,""2018_Kia"",""2016_Kia"",NULL,NULL,NULL,Rejected,"2018-02-08 20:36:46",juniorarmenta
""Ram Dealership in Dallas"",""Appointment\tInformation*"",NULL,NULL,NULL,""New Vehicle Special Offers"",""Service Information*"",NULL,NULL,NULL,""Special Offers Available for Your Future Ram Truck. Find out More Today!"",""Clay Cooley Chrysler Jeep Dodge Ram: Your One-Stop\nCar-Buying Spot"",NULL,NULL,NULL,""Special-Offers"",""Ram_Dealership"",NULL,NULL,NULL,""Ram"","""",NULL,NULL,NULL,Rejected,"2018-02-08 20:26:26",danielmar99
""Chrysler Dealership"",""Appointment\tInformation*"",NULL,NULL,NULL,""Excellence in Motion"",""Excellence In Motion"",NULL,NULL,NULL,""Your Brand New Chrysler is Waiting. View the Full Vehicle Lineup Today!"",""Chrysler Dealer"",NULL,NULL,NULL,""Dallas"",""Chrysler"",NULL,NULL,NULL,""Chrysler"",""dodge"",NULL,NULL,NULL,Rejected,"2018-02-08 20:21:53",danielmar99
""2017 Volkswagen CC"",""Volkswagen CC"",NULL,NULL,NULL,""New Vehicle Special Offers"",""The Sleek Sports Coupe"",NULL,NULL,NULL,""New Models and Special Offers Available. Schedule a Test Drive Today!"",""Discover the Upscale, Sporty Coupe. Explore Trims, Colors, & Features for a CC."",NULL,NULL,NULL,""Cars"",""2016_Vw_Cc"",NULL,NULL,NULL,""Volkswagen"",""2017"",NULL,NULL,NULL,Rejected,"2018-02-08 20:17:44",danielmar99
""Chrysler Dealer"",""Appointment\tInformation*"",NULL,NULL,NULL,""Excellence in Motion"",""Excellence In Motion"",NULL,NULL,NULL,""Large Selection of Chrysler Vehicles. Schedule a Test Drive Today!"",""Chrysler Dealer"",NULL,NULL,NULL,""Chrysler"",""Chrysler"",NULL,NULL,NULL,""Deals"",""dodge"",NULL,NULL,NULL,Rejected,"2018-02-08 19:51:36",danielmar99
""Dodge Dealership"",""Appointment\tInformation*"",NULL,NULL,NULL,""New Vehicle Special Offers"",""Built For Performance"",NULL,NULL,NULL,""From Sporty to Muscular to Roomy, We've Got a Vehicle for You. Contact Us Today!"",""Why Buy A New Chrysler, Dodge, Jeep Or Ram At Our\nIrving Dealership?"",NULL,NULL,NULL,""Dodge_Dealer"",""Dodge_Dealer"",NULL,NULL,NULL,""Dodge"",""dodge"",NULL,NULL,NULL,Completed,"2018-02-08 18:36:54",danielmar99
""Chrysler Dealer"",""Service Information*"",NULL,NULL,NULL,""Excellence in Motion"",""Appointment\tInformation*"",NULL,NULL,NULL,""Special Offers Available for Your Future Chrysler Car. Find out More!"",""Chrysler Dealer"",NULL,NULL,NULL,""Dallas"","""",NULL,NULL,NULL,""Chrysler"",""dodge"",NULL,NULL,NULL,Completed,"2018-02-08 17:45:53",danielmar99
""Richardson Volkswagen Dealer"",""Volkswagen Explore The Family"",NULL,NULL,NULL,""Online Vehicle Search"",""Volkswagen Sign Then Drive"",NULL,NULL,NULL,""New Models and Special Offers Available. Schedule a Test Drive Today!"",""Schedule A Test Drive For Your New Volkswagen Today!"",NULL,NULL,NULL,""Volkswagen"",""Vw_Dealer"",NULL,NULL,NULL,""Search"",""richardson"",NULL,NULL,NULL,Completed,"2018-02-08 15:59:45",danielmar99
""Dodge Dealerships"",""Service Information*"",NULL,NULL,NULL,""Clay Cooley Online Inventory"",""Appointment\tInformation*"",NULL,NULL,NULL,""Clay Cooley is Your One-Stop Car-Buying Spot in Dallas. Schedule an Appointment!"",""Clay Cooley Chrysler Jeep Dodge Ram: Your One-Stop\nCar-Buying Spot"",NULL,NULL,NULL,""Car-Dealerships"",""Dodge_Dealer"",NULL,NULL,NULL,""Dodge"",""Dodge"",NULL,NULL,NULL,Rejected,"2018-02-08 14:18:26",danielmar99
""2017 Jeep Cherokee"",""Jeep Grand Cherokee"",NULL,NULL,NULL,""Car Dealerships in Dallas"",""New Vehicles"",NULL,NULL,NULL,""Appealing Engines and Features to Choose From. Get Price Alerts on Your Phone!"",""New Car Dealer Near Dallas, Tx - Clay Cooley Chrysler Dodge Jeep Ram"",NULL,NULL,NULL,""New-Cars"",""2016_Jeep"",NULL,NULL,NULL,""Jeep-Cherokee"",""2015_Jeep"",NULL,NULL,NULL,Rejected,"2018-02-08 14:08:54",danielmar99
""Nissan Maxima Savings"",""Inteligent Mobility"",NULL,NULL,NULL,""Clay Cooley Nissan Galleria"",""12 Vehicles Found"",NULL,NULL,NULL,""Attractive Lease Deals on New Nissan Vehicles. Compare Vehicles Online!"",""The Perfect Execution of Driving Function With Elegance & Style."",NULL,NULL,NULL,""Dallas"",""dallas"",NULL,NULL,NULL,""Nissan"",""2017_Nissan"",NULL,NULL,NULL,Completed,"2018-02-08 13:50:05",danielmar99
""2017 Nissan Maxima"",""Inteligent Mobility"",NULL,NULL,NULL,""Nissan Galleria"",""12 Vehicles Found"",NULL,NULL,NULL,""The Perfect Execution of Driving Function with Elegance & Style. Buy Online!"",""The Perfect Execution of Driving Function With Elegance & Style."",NULL,NULL,NULL,""Vehicles"",""Vehicles"",NULL,NULL,NULL,""Nissan-Maxima"","""",NULL,NULL,NULL,Rejected,"2018-02-08 13:40:19",danielmar99
""CurcumaSorb Pure Encapsulation"",""By Pure Encapsulations"",NULL,NULL,NULL,""Meriva Tumeric Complex"",""Recently Viewed Items"",NULL,NULL,NULL,""Supports Skeletal, Digestive and Cardiovascular Health. Order Yours Online Now!"",""Supports skeletal, digestive and cardiovascular health - Enhanced for absorption"",NULL,NULL,NULL,""Naturals"",""Curcuma_Sorb"",NULL,NULL,NULL,""CurcumaSorb"",""Price"",NULL,NULL,NULL,Completed,"2018-02-07 06:51:40",anastasia.nicolov
